InvoiceNo  ,UnitPrice,OrderValue,Quantit,Country,InvoiceDate,Major Category,Minor Category,day,month,year,Hour,OrderTimeOfDay
562933,1.63,1.63,1,United Kingdom   ,2011-10-08,    Kitchen  ,         Bowls,8,10,2011,16,Evening
551009,4.13,4.13,1,United Kingdom   ,2011-04-26,     Garden  ,         Hoses,26,4,2011,9,Morning
542869,3.95,15.8,4,United Kingdom   ,2011-01-02,    Kitchen  ,Cooking Knives,2,1,2011,12,Afternoon
565232,3.29,6.58,2,United Kingdom   ,2011-02-09,    Kitchen  ,        Scales,9,2,2011,9,Morning
578262,0.39,1.17,3,United Kingdom   ,2011-11-23,    Clothes  ,          Tops,23,11,2011,13,Afternoon
576855,0.29,6.38,22,United Kingdom   ,2011-11-16,    Kitchen  ,        Scales,16,11,2011,15,Afternoon
575117,0.55,0.55,1,United Kingdom   ,2011-08-11,  Household  ,         Lamps,11,8,2011,14,Afternoon
581219,0.83,5.81,7,United Kingdom   ,2011-08-12,  Household  ,         Lamps,12,8,2011,9,Morning
555548,12.75,51.0,4,United Kingdom   ,2011-05-06,    Kitchen  ,        Plates,6,5,2011,13,Afternoon
580996,2.1,14.7,7,United Kingdom   ,2011-06-12,    Clothes  ,          Hats,12,6,2011,17,Evening
567823,1.25,15.0,12,United Kingdom   ,2011-09-22,     Garden  ,         Seeds,22,9,2011,12,Afternoon
551534,1.25,30.0,24,United Kingdom   ,2011-01-05,    Kitchen  ,Cooking Knives,5,1,2011,14,Afternoon
580136,12.5,12.5,1,United Kingdom   ,2011-01-12,  Household  ,      Curtains,12,1,2011,19,Evening
537640,5.06,10.12,2,United Kingdom   ,2010-07-12,    Clothes  ,          Hats,12,7,2010,15,Afternoon
559038,10.79,323.7,30,United Kingdom   ,2011-05-07,    Kitchen  ,        Scales,7,5,2011,15,Afternoon
556125,2.1,12.6,6,United Kingdom   ,2011-09-06,    Kitchen  ,        Scales,6,9,2011,10,Morning
576948,2.08,20.8,10,United Kingdom   ,2011-11-17,    Clothes  ,          Tops,17,11,2011,11,Morning
566279,0.19,0.38,2,United Kingdom   ,2011-11-09,    Clothes  ,          Tops,9,11,2011,14,Afternoon
536420,2.95,17.7,6,United Kingdom   ,2010-01-12,     Garden  ,         Rakes,12,1,2010,12,Afternoon
562551,2.25,2.25,1,United Kingdom   ,2011-05-08,    Clothes  ,         Shoes,8,5,2011,16,Evening
541810,8.29,8.29,1,United Kingdom   ,2011-01-21,    Clothes  ,         Shoes,21,1,2011,15,Afternoon
551547,4.96,69.44,14,United Kingdom   ,2011-03-05,  Household  ,        Chairs,5,3,2011,9,Morning
551718,5.79,11.58,2,United Kingdom   ,2011-03-05,    Kitchen  ,         Bowls,5,3,2011,16,Evening
540468,2.51,2.51,1,United Kingdom   ,2011-07-01,     Garden  ,         Rakes,1,7,2011,13,Afternoon
538199,4.95,4.95,1,United Kingdom   ,2010-10-12,     Garden  ,         Seeds,12,10,2010,11,Morning
579472,1.25,1.25,1,United Kingdom   ,2011-11-29,    Kitchen  ,      Coasters,29,11,2011,15,Afternoon
538683,1.25,7.5,6,United Kingdom   ,2010-12-13,    Kitchen  ,      Coasters,13,12,2010,17,Evening
577396,1.65,19.8,12,United Kingdom   ,2011-11-18,    Kitchen  ,      Coasters,18,11,2011,17,Evening
546366,0.85,2.55,3,United Kingdom   ,2011-11-03,  Household  ,        Chairs,3,11,2011,11,Morning
576274,0.42,5.04,12,United Kingdom   ,2011-11-14,  Household  ,         Lamps,14,11,2011,14,Afternoon
555408,5.95,11.9,2,United Kingdom   ,2011-03-06,    Kitchen  ,Cooking Knives,6,3,2011,8,Morning
549014,4.95,4.95,1,United Kingdom   ,2011-05-04,     Garden  ,          Turf,4,5,2011,15,Afternoon
569105,0.42,10.08,24,United Kingdom   ,2011-09-30,  Household  ,        Chairs,30,9,2011,12,Afternoon
568050,4.15,4.15,1,United Kingdom   ,2011-09-23,  Household  ,         Lamps,23,9,2011,12,Afternoon
542087,0.55,13.2,24,United Kingdom   ,2011-01-25,     Garden  ,         Hoses,25,1,2011,12,Afternoon
571283,0.85,3.4,4,United Kingdom   ,2011-10-16,    Clothes  ,         Shoes,16,10,2011,13,Afternoon
571457,0.39,9.36,24,United Kingdom   ,2011-10-17,    Clothes  ,          Hats,17,10,2011,14,Afternoon
557208,4.95,39.6,8,United Kingdom   ,2011-06-17,    Kitchen  ,         Bowls,17,6,2011,11,Morning
576695,0.42,5.04,12,United Kingdom   ,2011-11-16,     Garden  ,          Turf,16,11,2011,12,Afternoon
550326,1.25,7.5,6,United Kingdom   ,2011-04-17,    Clothes  ,         Shoes,17,4,2011,13,Afternoon
575898,1.25,3.75,3,United Kingdom   ,2011-11-11,     Garden  ,         Seeds,11,11,2011,15,Afternoon
543285,2.95,17.7,6,United Kingdom   ,2011-07-02,  Household  ,         Lamps,2,7,2011,9,Morning
556636,0.83,1.66,2,United Kingdom   ,2011-06-13,     Garden  ,         Rakes,13,6,2011,15,Afternoon
542621,0.65,7.8,12,       Germany   ,2011-01-31,     Garden  ,         Hoses,31,1,2011,9,Morning
572241,2.1,25.2,12,       Germany   ,2011-10-21,    Clothes  ,          Hats,21,10,2011,15,Afternoon
578024,1.25,15.0,12,       Germany   ,2011-11-22,    Kitchen  ,        Plates,22,11,2011,13,Afternoon
555553,0.85,8.5,10,       Germany   ,2011-05-06,  Household  ,         Lamps,6,5,2011,13,Afternoon
580511,2.1,50.4,24,       Germany   ,2011-04-12,  Household  ,          Rugs,12,4,2011,13,Afternoon
550620,8.5,34.0,4,       Germany   ,2011-04-19,  Household  ,        Chairs,19,4,2011,13,Afternoon
571304,7.95,15.9,2,       Germany   ,2011-10-17,    Kitchen  ,       Cutlery,17,10,2011,9,Morning
562035,4.95,14.85,3,       Germany   ,2011-02-08,     Garden  ,         Rakes,8,2,2011,9,Morning
560569,0.42,10.5,25,       Germany   ,2011-07-19,    Clothes  ,          Tops,19,7,2011,14,Afternoon
571724,0.39,4.68,12,       Germany   ,2011-10-19,  Household  ,      Curtains,19,10,2011,8,Morning
540410,0.85,10.2,12,       Germany   ,2011-07-01,    Clothes  ,          Hats,1,7,2011,10,Morning
539957,0.85,20.4,24,       Germany   ,2010-12-23,    Kitchen  ,        Scales,23,12,2010,12,Afternoon
564749,1.65,19.8,12,       Germany   ,2011-08-30,     Garden  ,         Rakes,30,8,2011,8,Morning
556517,1.65,33.0,20,       Germany   ,2011-06-13,     Garden  ,         Rakes,13,6,2011,10,Morning
578024,5.95,35.7,6,       Germany   ,2011-11-22,     Garden  ,         Seeds,22,11,2011,13,Afternoon
558881,7.95,15.9,2,       Germany   ,2011-04-07,    Kitchen  ,       Cutlery,7,4,2011,14,Afternoon
547925,0.42,10.5,25,       Germany   ,2011-03-28,     Garden  ,         Rakes,28,3,2011,13,Afternoon
576787,0.85,17.0,20,       Germany   ,2011-11-16,    Kitchen  ,        Plates,16,11,2011,13,Afternoon
552878,18.0,144.0,8,       Germany   ,2011-12-05,     Garden  ,          Turf,5,12,2011,9,Morning
564972,2.95,17.7,6,       Germany   ,2011-08-31,  Household  ,      Curtains,31,8,2011,15,Afternoon
564140,0.42,10.5,25,       Germany   ,2011-08-23,  Household  ,         Lamps,23,8,2011,11,Morning
579416,2.08,37.44,18,       Germany   ,2011-11-29,  Household  ,        Chairs,29,11,2011,13,Afternoon
575787,0.42,10.5,25,       Germany   ,2011-11-11,     Garden  ,         Rakes,11,11,2011,11,Morning
581000,1.25,15.0,12,       Germany   ,2011-07-12,     Garden  ,         Hoses,12,7,2011,8,Morning
556578,4.95,19.8,4,       Germany   ,2011-06-13,  Household  ,        Chairs,13,6,2011,14,Afternoon
565416,5.45,16.35,3,       Germany   ,2011-04-09,    Clothes  ,          Tops,9,4,2011,12,Afternoon
540458,0.85,10.2,12,       Germany   ,2011-07-01,    Clothes  ,         Shoes,1,7,2011,12,Afternoon
561911,1.65,19.8,12,       Germany   ,2011-01-08,  Household  ,        Chairs,8,1,2011,10,Morning
543587,7.95,15.9,2,       Germany   ,2011-10-02,    Clothes  ,          Hats,2,10,2011,11,Morning
549193,2.08,20.8,10,       Germany   ,2011-07-04,     Garden  ,         Rakes,4,7,2011,10,Morning
577615,1.25,22.5,18,       Germany   ,2011-11-21,  Household  ,         Lamps,21,11,2011,10,Morning
556509,2.08,12.48,6,       Germany   ,2011-06-13,    Clothes  ,          Hats,13,6,2011,10,Morning
568056,1.45,17.4,12,       Germany   ,2011-09-23,    Clothes  ,          Hats,23,9,2011,12,Afternoon
537201,1.95,15.6,8,       Germany   ,2010-05-12,    Kitchen  ,       Cutlery,12,5,2010,14,Afternoon
540553,7.95,15.9,2,       Germany   ,2011-10-01,  Household  ,      Curtains,1,10,2011,9,Morning
571065,4.15,16.6,4,       Germany   ,2011-10-13,    Kitchen  ,       Cutlery,13,10,2011,14,Afternoon
560635,1.25,15.0,12,       Germany   ,2011-07-20,     Garden  ,         Rakes,20,7,2011,10,Morning
554861,4.95,19.8,4,       Germany   ,2011-05-27,    Clothes  ,          Hats,27,5,2011,10,Morning
565765,2.55,15.3,6,       Germany   ,2011-06-09,    Kitchen  ,Cooking Knives,9,6,2011,14,Afternoon
540458,2.95,17.7,6,       Germany   ,2011-07-01,  Household  ,      Curtains,1,7,2011,12,Afternoon
571658,1.65,19.8,12,       Germany   ,2011-10-18,     Garden  ,         Hoses,18,10,2011,12,Afternoon
576787,2.08,20.8,10,       Germany   ,2011-11-16,    Clothes  ,          Tops,16,11,2011,13,Afternoon
541965,0.85,20.4,24,       Germany   ,2011-01-24,    Kitchen  ,       Cutlery,24,1,2011,13,Afternoon
556443,0.85,8.5,10,       Germany   ,2011-10-06,    Kitchen  ,        Plates,6,10,2011,15,Afternoon
567666,2.95,17.7,6,       Germany   ,2011-09-21,     Garden  ,         Seeds,21,9,2011,15,Afternoon
542713,3.75,30.0,8,       Germany   ,2011-01-31,     Garden  ,          Turf,31,1,2011,13,Afternoon
576890,3.75,15.0,4,       Germany   ,2011-11-16,  Household  ,         Lamps,16,11,2011,17,Evening
555162,1.95,23.4,12,       Germany   ,2011-01-06,  Household  ,      Curtains,6,1,2011,10,Morning
569893,12.75,12.75,1,       Germany   ,2011-06-10,    Kitchen  ,Cooking Knives,10,6,2011,15,Afternoon
581266,0.39,4.68,12,       Germany   ,2011-08-12,  Household  ,          Rugs,12,8,2011,11,Morning
553741,10.95,65.7,6,       Germany   ,2011-05-19,    Clothes  ,          Tops,19,5,2011,9,Morning
565416,0.29,6.96,24,       Germany   ,2011-04-09,    Kitchen  ,      Coasters,9,4,2011,12,Afternoon
555162,2.55,15.3,6,       Germany   ,2011-01-06,     Garden  ,         Seeds,6,1,2011,10,Morning
555282,1.45,17.4,12,       Germany   ,2011-02-06,    Clothes  ,          Hats,6,2,2011,9,Morning
549316,0.65,7.8,12,       Germany   ,2011-08-04,    Kitchen  ,        Scales,4,8,2011,9,Morning
560728,2.95,14.75,5,       Germany   ,2011-07-20,     Garden  ,          Turf,20,7,2011,14,Afternoon
544573,2.55,30.6,12,       Germany   ,2011-02-21,  Household  ,        Chairs,21,2,2011,13,Afternoon
546759,3.75,15.0,4,       Germany   ,2011-03-16,    Kitchen  ,Cooking Knives,16,3,2011,13,Afternoon
568350,4.95,44.55,9,       Germany   ,2011-09-26,    Clothes  ,         Shoes,26,9,2011,15,Afternoon
578509,2.95,17.7,6,       Germany   ,2011-11-24,     Garden  ,         Hoses,24,11,2011,13,Afternoon
581266,1.25,15.0,12,       Germany   ,2011-08-12,     Garden  ,         Rakes,12,8,2011,11,Morning
567958,0.55,13.2,24,       Germany   ,2011-09-23,    Clothes  ,          Hats,23,9,2011,9,Morning
537201,0.85,20.4,24,       Germany   ,2010-05-12,  Household  ,        Chairs,12,5,2010,14,Afternoon
539395,14.95,89.7,6,       Germany   ,2010-12-17,    Kitchen  ,        Scales,17,12,2010,11,Morning
568674,4.95,14.85,3,       Germany   ,2011-09-28,    Clothes  ,          Tops,28,9,2011,13,Afternoon
568674,3.25,19.5,6,       Germany   ,2011-09-28,    Clothes  ,          Hats,28,9,2011,13,Afternoon
545718,4.95,14.85,3,       Germany   ,2011-07-03,     Garden  ,         Hoses,3,7,2011,10,Morning
573284,2.08,12.48,6,       Germany   ,2011-10-28,  Household  ,          Rugs,28,10,2011,14,Afternoon
542128,0.85,20.4,24,       Germany   ,2011-01-25,     Garden  ,         Rakes,25,1,2011,15,Afternoon
576607,18.0,72.0,4,       Germany   ,2011-11-15,    Kitchen  ,Cooking Knives,15,11,2011,15,Afternoon
564856,1.25,15.0,12,       Germany   ,2011-08-31,     Garden  ,         Rakes,31,8,2011,9,Morning
540458,9.95,19.9,2,       Germany   ,2011-07-01,    Clothes  ,          Tops,1,7,2011,12,Afternoon
567904,1.65,16.5,10,       Germany   ,2011-09-22,    Clothes  ,          Tops,22,9,2011,16,Evening
564079,1.65,16.5,10,       Germany   ,2011-08-22,    Clothes  ,          Hats,22,8,2011,15,Afternoon
542369,1.65,39.6,24,       Germany   ,2011-01-27,    Clothes  ,          Hats,27,1,2011,13,Afternoon
572061,4.25,17.0,4,       Germany   ,2011-10-20,    Clothes  ,          Tops,20,10,2011,12,Afternoon
560876,1.65,19.8,12,       Germany   ,2011-07-21,     Garden  ,         Seeds,21,7,2011,15,Afternoon
547383,0.85,10.2,12,       Germany   ,2011-03-22,     Garden  ,         Rakes,22,3,2011,15,Afternoon
577135,8.5,68.0,8,       Germany   ,2011-11-18,     Garden  ,         Hoses,18,11,2011,8,Morning
576890,1.25,15.0,12,       Germany   ,2011-11-16,    Kitchen  ,       Cutlery,16,11,2011,17,Evening
572061,0.42,8.4,20,       Germany   ,2011-10-20,     Garden  ,         Rakes,20,10,2011,12,Afternoon
571065,4.95,14.85,3,       Germany   ,2011-10-13,    Clothes  ,          Hats,13,10,2011,14,Afternoon
540769,1.45,17.4,12,       Germany   ,2011-11-01,    Clothes  ,          Hats,1,11,2011,10,Morning
559298,2.08,24.96,12,       Germany   ,2011-07-07,    Clothes  ,          Hats,7,7,2011,12,Afternoon
569893,1.65,19.8,12,       Germany   ,2011-06-10,     Garden  ,         Rakes,10,6,2011,15,Afternoon
566233,10.95,10.95,1,       Germany   ,2011-11-09,    Clothes  ,         Shoes,9,11,2011,11,Morning
568350,1.0,24.0,24,       Germany   ,2011-09-26,    Clothes  ,         Shoes,26,9,2011,15,Afternoon
560230,18.0,36.0,2,       Germany   ,2011-07-17,    Kitchen  ,      Coasters,17,7,2011,10,Morning
550137,2.95,35.4,12,       Germany   ,2011-04-14,  Household  ,        Chairs,14,4,2011,13,Afternoon
543587,2.95,23.6,8,       Germany   ,2011-10-02,     Garden  ,         Rakes,2,10,2011,11,Morning
554104,0.65,7.8,12,       Germany   ,2011-05-22,    Kitchen  ,         Bowls,22,5,2011,14,Afternoon
560230,0.42,10.08,24,       Germany   ,2011-07-17,    Kitchen  ,         Bowls,17,7,2011,10,Morning
574071,0.85,10.2,12,       Germany   ,2011-02-11,    Clothes  ,          Tops,11,2,2011,14,Afternoon
540351,0.55,13.2,24,        France   ,2011-06-01,    Kitchen  ,        Scales,1,6,2011,14,Afternoon
574104,0.85,10.2,12,        France   ,2011-03-11,  Household  ,         Lamps,11,3,2011,10,Morning
538008,1.25,30.0,24,        France   ,2010-09-12,  Household  ,         Lamps,12,9,2010,12,Afternoon
569921,12.5,12.5,1,        France   ,2011-06-10,     Garden  ,          Turf,10,6,2011,17,Evening
579345,0.42,10.08,24,        France   ,2011-11-29,    Kitchen  ,       Cutlery,29,11,2011,11,Morning
546479,1.65,16.5,10,        France   ,2011-03-14,     Garden  ,         Seeds,14,3,2011,11,Morning
566736,0.42,6.72,16,        France   ,2011-09-14,    Kitchen  ,        Plates,14,9,2011,14,Afternoon
547722,0.65,7.8,12,        France   ,2011-03-25,     Garden  ,         Seeds,25,3,2011,10,Morning
556529,2.55,30.6,12,        France   ,2011-06-13,  Household  ,         Lamps,13,6,2011,11,Morning
536974,1.25,15.0,12,        France   ,2010-03-12,    Kitchen  ,       Cutlery,12,3,2010,13,Afternoon
547722,5.95,17.85,3,        France   ,2011-03-25,    Kitchen  ,        Scales,25,3,2011,10,Morning
556259,1.25,30.0,24,        France   ,2011-09-06,     Garden  ,         Seeds,6,9,2011,17,Evening
579492,2.95,70.8,24,        France   ,2011-11-29,    Kitchen  ,       Cutlery,29,11,2011,15,Afternoon
575629,2.95,17.7,6,        France   ,2011-10-11,     Garden  ,         Seeds,11,10,2011,13,Afternoon
579792,0.39,4.68,12,        France   ,2011-11-30,     Garden  ,         Hoses,30,11,2011,15,Afternoon
575692,2.55,7.65,3,        France   ,2011-10-11,     Garden  ,         Hoses,11,10,2011,16,Evening
542433,2.95,53.1,18,        France   ,2011-01-28,  Household  ,      Curtains,28,1,2011,10,Morning
540351,2.1,12.6,6,        France   ,2011-06-01,    Clothes  ,         Shoes,1,6,2011,14,Afternoon
574506,1.65,1.65,1,        France   ,2011-04-11,    Clothes  ,          Tops,11,4,2011,13,Afternoon
544470,12.75,51.0,4,        France   ,2011-02-21,    Clothes  ,          Hats,21,2,2011,8,Morning
561795,1.25,12.5,10,        France   ,2011-07-29,  Household  ,      Curtains,29,7,2011,13,Afternoon
569122,0.83,6.64,8,        France   ,2011-09-30,  Household  ,        Chairs,30,9,2011,13,Afternoon
545583,3.75,15.0,4,        France   ,2011-04-03,     Garden  ,         Seeds,3,4,2011,9,Morning
551544,2.1,63.0,30,        France   ,2011-03-05,     Garden  ,         Hoses,5,3,2011,9,Morning
568040,1.25,30.0,24,        France   ,2011-09-23,    Clothes  ,          Tops,23,9,2011,12,Afternoon
579193,3.25,19.5,6,        France   ,2011-11-28,     Garden  ,         Hoses,28,11,2011,15,Afternoon
544355,3.25,19.5,6,        France   ,2011-02-18,     Garden  ,         Hoses,18,2,2011,10,Morning
576087,1.95,15.6,8,        France   ,2011-11-14,    Kitchen  ,        Scales,14,11,2011,8,Morning
574104,1.25,30.0,24,        France   ,2011-03-11,    Kitchen  ,      Coasters,11,3,2011,10,Morning
570672,1.25,15.0,12,        France   ,2011-11-10,  Household  ,        Chairs,10,11,2011,14,Afternoon
560272,18.0,18.0,1,        France   ,2011-07-17,  Household  ,          Rugs,17,7,2011,14,Afternoon
561470,0.42,10.5,25,        France   ,2011-07-27,  Household  ,      Curtains,27,7,2011,13,Afternoon
543188,0.85,10.2,12,        France   ,2011-04-02,  Household  ,          Rugs,2,4,2011,11,Morning
540642,1.65,19.8,12,        France   ,2011-10-01,    Clothes  ,          Hats,1,10,2011,13,Afternoon
540642,4.95,14.85,3,        France   ,2011-10-01,     Garden  ,          Turf,1,10,2011,13,Afternoon
579792,1.25,30.0,24,        France   ,2011-11-30,    Clothes  ,          Tops,30,11,2011,15,Afternoon
580705,4.95,19.8,4,        France   ,2011-05-12,    Kitchen  ,        Plates,12,5,2011,16,Evening
570672,0.85,8.5,10,        France   ,2011-11-10,    Clothes  ,          Hats,10,11,2011,14,Afternoon
541120,1.25,15.0,12,        France   ,2011-01-14,    Kitchen  ,Cooking Knives,14,1,2011,9,Morning
566816,2.55,61.2,24,        France   ,2011-09-15,    Kitchen  ,        Scales,15,9,2011,10,Morning
555941,0.85,10.2,12,        France   ,2011-08-06,     Garden  ,         Rakes,6,8,2011,10,Morning
563288,0.42,10.5,25,        France   ,2011-08-15,  Household  ,          Rugs,15,8,2011,12,Afternoon
547504,1.95,15.6,8,        France   ,2011-03-23,     Garden  ,          Turf,23,3,2011,13,Afternoon
552631,0.65,15.6,24,        France   ,2011-10-05,    Clothes  ,         Shoes,5,10,2011,12,Afternoon
540239,1.25,15.0,12,        France   ,2011-05-01,    Kitchen  ,      Coasters,1,5,2011,14,Afternoon
539050,2.1,2.1,1,        France   ,2010-12-15,    Kitchen  ,      Coasters,15,12,2010,16,Evening
541120,1.95,15.6,8,        France   ,2011-01-14,     Garden  ,         Hoses,14,1,2011,9,Morning
564670,18.0,108.0,6,        France   ,2011-08-26,     Garden  ,         Hoses,26,8,2011,15,Afternoon
547892,1.25,15.0,12,        France   ,2011-03-28,    Kitchen  ,         Bowls,28,3,2011,10,Morning
544817,1.65,19.8,12,        France   ,2011-02-23,  Household  ,         Lamps,23,2,2011,16,Evening
541121,2.95,44.25,15,        France   ,2011-01-14,    Clothes  ,          Hats,14,1,2011,9,Morning
552631,0.85,10.2,12,        France   ,2011-10-05,    Kitchen  ,      Coasters,5,10,2011,12,Afternoon
567640,1.95,15.6,8,        France   ,2011-09-21,  Household  ,        Chairs,21,9,2011,14,Afternoon
575067,0.55,13.2,24,        France   ,2011-08-11,    Kitchen  ,         Bowls,11,8,2011,12,Afternoon
565322,1.65,26.4,16,        France   ,2011-02-09,     Garden  ,         Rakes,9,2,2011,13,Afternoon
580536,18.0,54.0,3,        France   ,2011-04-12,    Clothes  ,         Shoes,12,4,2011,16,Evening
570672,1.45,17.4,12,        France   ,2011-11-10,  Household  ,          Rugs,10,11,2011,14,Afternoon
568040,2.55,15.3,6,        France   ,2011-09-23,    Kitchen  ,      Coasters,23,9,2011,12,Afternoon
536370,0.42,10.08,24,        France   ,2010-01-12,     Garden  ,         Rakes,12,1,2010,8,Morning
575193,1.65,16.5,10,        France   ,2011-09-11,    Clothes  ,          Tops,11,9,2011,9,Morning
563288,4.95,39.6,8,        France   ,2011-08-15,    Kitchen  ,       Cutlery,15,8,2011,12,Afternoon
547087,1.65,13.2,8,        France   ,2011-03-20,     Garden  ,         Seeds,20,3,2011,15,Afternoon
540365,0.85,10.2,12,        France   ,2011-06-01,    Clothes  ,         Shoes,1,6,2011,16,Evening
570672,8.25,16.5,2,        France   ,2011-11-10,    Kitchen  ,         Bowls,10,11,2011,14,Afternoon
559607,3.75,15.0,4,        France   ,2011-11-07,     Garden  ,         Hoses,7,11,2011,11,Morning
541138,1.65,19.8,12,        France   ,2011-01-14,     Garden  ,          Turf,14,1,2011,10,Morning
540463,1.65,9.9,6,        France   ,2011-07-01,     Garden  ,         Hoses,1,7,2011,13,Afternoon
570672,2.08,12.48,6,        France   ,2011-11-10,  Household  ,          Rugs,10,11,2011,14,Afternoon
555547,1.65,19.8,12,        France   ,2011-05-06,    Clothes  ,          Hats,6,5,2011,13,Afternoon
568798,0.42,10.5,25,        France   ,2011-09-29,    Kitchen  ,Cooking Knives,29,9,2011,10,Morning
538008,10.95,21.9,2,        France   ,2010-09-12,    Clothes  ,          Tops,12,9,2010,12,Afternoon
555096,4.15,16.6,4,        France   ,2011-05-31,    Kitchen  ,        Plates,31,5,2011,13,Afternoon
541631,0.65,7.8,12,        France   ,2011-01-20,    Kitchen  ,        Scales,20,1,2011,10,Morning
545301,1.25,30.0,24,        France   ,2011-01-03,     Garden  ,         Seeds,3,1,2011,12,Afternoon
552315,0.42,5.04,12,        France   ,2011-08-05,     Garden  ,         Hoses,5,8,2011,16,Evening
570672,1.25,10.0,8,        France   ,2011-11-10,    Clothes  ,          Tops,10,11,2011,14,Afternoon
575067,4.95,44.55,9,        France   ,2011-08-11,     Garden  ,         Seeds,11,8,2011,12,Afternoon
560398,0.39,9.36,24,        France   ,2011-07-18,     Garden  ,         Hoses,18,7,2011,14,Afternoon
541567,0.85,17.0,20,        France   ,2011-01-19,  Household  ,         Lamps,19,1,2011,11,Morning
575692,1.25,2.5,2,        France   ,2011-10-11,    Kitchen  ,      Coasters,11,10,2011,16,Evening
543484,0.42,10.5,25,        France   ,2011-09-02,     Garden  ,          Turf,2,9,2011,10,Morning
570841,18.0,36.0,2,        France   ,2011-12-10,  Household  ,      Curtains,10,12,2011,14,Afternoon
541138,0.85,20.4,24,        France   ,2011-01-14,    Kitchen  ,Cooking Knives,14,1,2011,10,Morning
574506,8.25,8.25,1,        France   ,2011-04-11,  Household  ,        Chairs,11,4,2011,13,Afternoon
565931,2.25,18.0,8,        France   ,2011-08-09,    Clothes  ,         Shoes,9,8,2011,10,Morning
553208,2.08,24.96,12,        France   ,2011-05-16,    Kitchen  ,        Scales,16,5,2011,9,Morning
573402,0.83,9.96,12,        France   ,2011-10-30,    Clothes  ,          Tops,30,10,2011,15,Afternoon
554097,2.95,17.7,6,        France   ,2011-05-22,     Garden  ,         Rakes,22,5,2011,13,Afternoon
556886,1.25,30.0,24,        France   ,2011-06-15,    Clothes  ,          Tops,15,6,2011,12,Afternoon
546428,1.25,15.0,12,        France   ,2011-03-13,  Household  ,         Lamps,13,3,2011,14,Afternoon
545515,0.85,10.2,12,        France   ,2011-03-03,     Garden  ,          Turf,3,3,2011,12,Afternoon
575747,3.25,19.5,6,        France   ,2011-11-11,    Clothes  ,          Tops,11,11,2011,10,Morning
554648,2.08,20.8,10,        France   ,2011-05-25,  Household  ,         Lamps,25,5,2011,12,Afternoon
542904,1.65,39.6,24,        France   ,2011-01-02,    Clothes  ,          Hats,2,1,2011,14,Afternoon
553411,1.65,16.5,10,        France   ,2011-05-17,     Garden  ,         Rakes,17,5,2011,9,Morning
575747,1.25,30.0,24,        France   ,2011-11-11,     Garden  ,         Rakes,11,11,2011,10,Morning
574918,0.65,14.3,22,        France   ,2011-07-11,     Garden  ,         Seeds,11,7,2011,16,Evening
564173,4.15,24.9,6,        France   ,2011-08-23,     Garden  ,         Seeds,23,8,2011,14,Afternoon
541120,2.95,35.4,12,        France   ,2011-01-14,  Household  ,        Chairs,14,1,2011,9,Morning
576927,4.15,16.6,4,        France   ,2011-11-17,     Garden  ,         Seeds,17,11,2011,11,Morning
569568,4.95,19.8,4,        France   ,2011-05-10,    Kitchen  ,Cooking Knives,10,5,2011,9,Morning
574104,4.95,39.6,8,        France   ,2011-03-11,     Garden  ,          Turf,11,3,2011,10,Morning
552631,0.42,10.08,24,        France   ,2011-10-05,     Garden  ,          Turf,5,10,2011,12,Afternoon
554940,2.1,25.2,12,        France   ,2011-05-27,     Garden  ,         Rakes,27,5,2011,13,Afternoon
581587,4.15,16.6,4,        France   ,2011-09-12,     Garden  ,         Hoses,12,9,2011,12,Afternoon
541567,0.85,8.5,10,        France   ,2011-01-19,    Kitchen  ,      Coasters,19,1,2011,11,Morning
540365,0.85,20.4,24,        France   ,2011-06-01,    Clothes  ,         Shoes,1,6,2011,16,Evening
570724,1.25,15.0,12,        France   ,2011-12-10,     Garden  ,         Hoses,10,12,2011,11,Morning
579345,4.95,14.85,3,        France   ,2011-11-29,     Garden  ,         Seeds,29,11,2011,11,Morning
565854,4.15,33.2,8,        France   ,2011-07-09,    Kitchen  ,         Bowls,9,7,2011,13,Afternoon
574093,2.1,12.6,6,        France   ,2011-03-11,     Garden  ,         Hoses,11,3,2011,9,Morning
544069,2.95,17.7,6,        France   ,2011-02-15,    Clothes  ,         Shoes,15,2,2011,14,Afternoon
565930,1.25,20.0,16,        France   ,2011-08-09,    Kitchen  ,       Cutlery,9,8,2011,10,Morning
542629,2.1,25.2,12,        France   ,2011-01-31,    Kitchen  ,      Coasters,31,1,2011,9,Morning
551544,0.85,20.4,24,        France   ,2011-03-05,    Kitchen  ,Cooking Knives,5,3,2011,9,Morning
539727,18.0,18.0,1,        France   ,2010-12-21,  Household  ,          Rugs,21,12,2010,14,Afternoon
566115,0.42,5.04,12,        France   ,2011-09-09,    Clothes  ,          Hats,9,9,2011,10,Morning
547194,1.65,4.95,3,        France   ,2011-03-21,    Kitchen  ,      Coasters,21,3,2011,12,Afternoon
559704,18.0,72.0,4,        France   ,2011-12-07,    Kitchen  ,         Bowls,7,12,2011,9,Morning
568040,0.85,8.5,10,        France   ,2011-09-23,    Kitchen  ,       Cutlery,23,9,2011,12,Afternoon
556526,4.15,33.2,8,        France   ,2011-06-13,    Kitchen  ,Cooking Knives,13,6,2011,11,Morning
573891,5.95,35.7,6,        France   ,2011-01-11,     Garden  ,         Hoses,11,1,2011,13,Afternoon
